0x589E: zēng  # 增
0x58A8: mò  # 墨
0x58A9: dūn  # 墩
0x58B3: fén  # 墳
0x58BE: kěn  # 墾
0x58C1: bì  # 壁
0x58D3: yā  # 壓
0x58D5: háo  # 壕
0x58D8: lěi  # 壘
0x58DE: huài  # 壞
0x58DF: lǒng  # 壟
0x58E4: rǎng  # 壤
0x58E9: bà  # 壩
0x58EB: shì,shi  # 士
0x58EE: zhuàng  # 壮
0x58EF: zhuàng  # 壯
0x58F0: shēng,sheng  # 声
0x58F3: ké,qiào  # 壳
0x58F6: hú  # 壶
0x58FA: hú  # 壺
0x58FD: shoù  # 壽
0x5904: chù,chǔ,chu  # 处
0x5907: bèi  # 备
0x590D: fù  # 复
0x590F: xià  # 夏
0x5915: xī  # 夕
0x5916: wài  # 外
0x591A: duō  # 多
0x591C: yè  # 夜
0x591F: goù  # 够
0x5920: goù  # 夠
0x5922: mèng  # 夢
0x5927: dà,dài  # 大
0x5929: tiān,tian  # 天
0x592A: tài,tai  # 太
0x592B: fu,fū  # 夫
0x592E: yāng  # 央
0x5931: shī  # 失
0x5934: toú,tou  # 头
0x5938: kuā  # 夸
0x5939: jiā,jiá  # 夹
0x593A: duó  # 夺
0x593E: jiā,jiá  # 夾
0x5947: qí  # 奇
0x5948: nài  # 奈
0x5949: fèng  # 奉
0x594B: fèn  # 奋
0x594F: zoù  # 奏
0x5954: bēn,bèn  # 奔
0x5956: jiǎng  # 奖
0x5957: tào  # 套
0x5960: diàn  # 奠
0x596A: duó  # 奪
0x596E: fèn  # 奮
0x5973: nǚ,nü  # 女
0x5974: nú  # 奴
0x5976: nǎi,nai  # 奶
0x5978: jiān  # 奸
0x5979: tā  # 她
0x597D: hǎo,hāo,hào  # 好
0x5982: rú  # 如
0x5984: wàng  # 妄
0x5987: fù,fu  # 妇
0x5988: mā,ma  # 妈
0x5999: miào  # 妙
0x59A5: tuǒ  # 妥
0x59A8: fáng,fāng  # 妨
0x59B9: mèi,mei  # 妹
0x59BB: qī  # 妻
0x59C6: mǔ  # 姆
0x59CA: zǐ  # 姊
0x59CB: shǐ  # 始
0x59D0: jie,jiě  # 姐
0x59D1: gū,gu  # 姑
0x59D3: xìng  # 姓
0x59D4: wěi  # 委
0x59DC: jiāng  # 姜
0x59E8: yí  # 姨
0x59FB: yīn  # 姻
0x59FF: zī  # 姿
0x5A01: wēi  # 威
0x5A03: wá,wa  # 娃
0x5A07: jiāo  # 娇
0x5A18: niang,niáng  # 娘
0x5A1B: yú  # 娛
0x5A31: yú  # 娱
0x5A36: qǔ  # 娶
0x5A46: pó,po  # 婆
0x5A5A: hūn  # 婚
0x5A66: fù,fu  # 婦
0x5A74: yīng  # 婴
0x5A76: shěn,shen  # 婶
0x5AB3: xí  # 媳
0x5ABD: mā,ma  # 媽
0x5AC1: jià  # 嫁
0x5AC2: sǎo,sao  # 嫂
0x5ACC: xián  # 嫌
0x5AE9: nèn  # 嫩
0x5B0C: jiāo  # 嬌
0x5B30: yīng  # 嬰
0x5B38: shěn,shen  # 嬸
0x5B50: zi,zǐ  # 子
0x5B54: kǒng  # 孔
0x5B57: zì,zi  # 字
0x5B58: cún  # 存
0x5B59: sūn  # 孙
0x5B63: jì  # 季
0x5B64: gū  # 孤
0x5B66: xué  # 学
0x5B69: hái  # 孩
0x5B6B: sūn  # 孫
0x5B75: fū  # 孵
0x5B78: xué  # 學
0x5B81: níng,nìng  # 宁
0x5B83: tā  # 它
0x5B85: zhái  # 宅
0x5B87: yǔ  # 宇
0x5B88: shoǔ  # 守
0x5B89: ān  # 安
0x5B8C: wán  # 完
0x5B8F: hóng  # 宏
0x5B97: zōng,zong  # 宗
0x5B98: guān  # 官
0x5B99: zhoù  # 宙
0x5B9A: dìng  # 定
0x5B9C: yi,yí  # 宜
0x5B9D: bǎo  # 宝
0x5B9E: shí,shi  # 实
0x5BA1: shěn  # 审
0x5BA2: kè  # 客
0x5BA3: xuān  # 宣
0x5BA4: shì  # 室
0x5BAA: xiàn  # 宪
0x5BAB: gōng  # 宫
0x5BAE: gōng  # 宮
0x5BB0: zǎi  # 宰
0x5BB3: hài,hai  # 害
0x5BB4: yàn  # 宴
0x5BB5: xiāo  # 宵
0x5BB6: jiā,jia  # 家
0x5BB9: róng  # 容
0x5BBD: kuān  # 宽
0x5BBE: bīn  # 宾
0x5BBF: sù,xiǔ  # 宿
0x5BC2: jì  # 寂
0x5BC4: jì  # 寄
0x5BC6: mì  # 密
0x5BC7: koù  # 寇
0x5BCC: fù  # 富
0x5BD2: hán  # 寒
0x5BD3: yù  # 寓
0x5BDE: mò  # 寞
0x5BDF: chá  # 察
0x5BE1: guǎ  # 寡
0x5BE6: shí,shi  # 實
0x5BE7: níng,nìng  # 寧
0x5BE9: shěn  # 審
0x5BEB: xiě  # 寫
0x5BEC: kuān  # 寬
0x5BF6: bǎo  # 寶
0x5BF8: cùn,cun  # 寸
0x5BF9: duì  # 对
0x5BFB: xún,xín  # 寻
0x5BFC: dǎo  # 导
0x5BFF: shoù  # 寿
0x5C01: fēng  # 封
0x5C04: shè  # 射
0x5C06: jiāng,jiàng  # 将
0x5C07: jiāng,jiàng  # 將
0x5C08: zhuān  # 專
0x5C0A: zūn  # 尊
0x5C0B: xún,xín  # 尋
0x5C0D: duì  # 對
0x5C0E: dǎo  # 導
0x5C0F: xiǎo  # 小
